"20-40 pontos","ENGENHARIA AGRONÔMICA",SUPERIOR,INTEGRAL,M,"entre 23 e 30","Zona Urbana","Apenas em escola pública","Maior que R$ 1530,00",Alugada,"Médio Completo","Realização pessoal",próprio,"Ensino Médio Incompleto","Ensino Médio Completo",Sim,"Nenhum livro",Outro,Diariamente
"40-60 pontos","ENSINO MÉDIO E TÉCNICO EM AGROPECUÁRIA INTEGRADO","ENSINO MÉDIO E TÉCNICO",INTEGRAL,M,"menor 17","Zona Rural","Apenas em escola pública","R$ 511,00 a 765,00",Própria,Fundamental,"Realização pessoal",ônibus/van,"Ensino Fundam. incompleto","Ensino Fundam. incompleto",Sim,"1 ou 2 livros",Outro,"Não utiliza"
"60-80 pontos",INFORMÁTICA,TÉCNICO,NOTURNO,F,"entre 23 e 30","Zona Urbana","Apenas em escola pública","R$ 511,00 a 765,00",Própria,"Médio Completo","Possibilidades no mercado de trabalho",carona,"Ensino Fundam. incompleto","Ensino Fundamental Completo",Não,"1 ou 2 livros",Outro,Diariamente
"40-60 pontos",AGROPECUÁRIA,TÉCNICO,INTEGRAL,M,"entre 18 e 22","Zona Urbana","Apenas em escola pública","R$ 1276,00 a 1530,00",Própria,"Médio Completo","outro motivo",ônibus/van,"Ensino Médio Completo","Ensino Médio Incompleto",Sim,"1 ou 2 livros",Ficção,Diariamente
"40-60 pontos","CIÊNCIA DA COMPUTAÇÃO",SUPERIOR,NOTURNO,F,"entre 18 e 22","Zona Urbana","Apenas em escola pública","R$ 511,00 a 765,00",Própria,"Médio Incompleto","Possibilidades no mercado de trabalho",ônibus/van,"Ensino Fundam. incompleto","Ensino Médio Completo",Sim,"Mais de 5 livros",Outro,Diariamente
"60-80 pontos","ENSINO MÉDIO E TÉCNICO EM AGROPECUÁRIA INTEGRADO","ENSINO MÉDIO E TÉCNICO",INTEGRAL,F,"menor 17","Zona Rural","Apenas em escola pública","R$ 766,00 a 1275,00",Própria,Fundamental,"Possibilidades no mercado de trabalho",ônibus/van,"Ensino Fundam. incompleto","Ensino Médio Completo",Sim,"1 ou 2 livros",Técnico-científico,"Semanalmente (algumas vezes)"
"40-60 pontos","CIÊNCIA DA COMPUTAÇÃO",SUPERIOR,NOTURNO,M,"entre 18 e 22","Zona Urbana","Apenas em escola pública","Maior que R$ 1530,00",Alugada,"Médio Completo","Realização pessoal",próprio,"Ensino Médio Completo","Ensino Médio Incompleto",Sim,"Mais de 5 livros",Romance,Diariamente
"20-40 pontos","ENGENHARIA AGRONÔMICA",SUPERIOR,INTEGRAL,F,"entre 18 e 22","Zona Urbana","Apenas em escola pública","R$ 1276,00 a 1530,00",Alugada,"Médio Completo","Realização pessoal",ônibus/van,"Ensino Médio Completo","Ensino Médio Completo",Sim,"1 ou 2 livros",Outro,Diariamente
"40-60 pontos","ENSINO MÉDIO E TÉCNICO EM AGROPECUÁRIA INTEGRADO","ENSINO MÉDIO E TÉCNICO",INTEGRAL,F,"menor 17","Zona Urbana","Apenas em escola pública","R$ 766,00 a 1275,00",Própria,Fundamental,"Realização pessoal",carona,"Ensino Fundam. incompleto","Ensino Médio Completo",Sim,"1 ou 2 livros",Romance,Diariamente
"20-40 pontos","CIÊNCIA DA COMPUTAÇÃO",SUPERIOR,NOTURNO,F,"entre 23 e 30","Zona Urbana","A maior parte em escola publica","R$ 1276,00 a 1530,00",Própria,"Médio Completo","Possibilidades no mercado de trabalho",próprio,"Ensino Médio Completo","Ensino Fundam. incompleto",Sim,"1 ou 2 livros",Ficção,Diariamente
"60-80 pontos","ENSINO MÉDIO E TÉCNICO EM INFORMÁTICA","ENSINO MÉDIO E TÉCNICO",INTEGRAL,F,"menor 17","Zona Urbana","Apenas em escola pública","R$ 511,00 a 765,00",Própria,Fundamental,"Possibilidades no mercado de trabalho",outro,"Ensino Fundamental Completo","Ensino Fundamental Completo",Sim,"3 a 4 livros",Romance,Diariamente
"40-60 pontos","ENSINO MÉDIO E TÉCNICO EM AGROPECUÁRIA INTEGRADO","ENSINO MÉDIO E TÉCNICO",INTEGRAL,M,"17 anos","Zona Urbana","Apenas em escola pública","R$ 511,00 a 765,00",Outros,Fundamental,"Possibilidades no mercado de trabalho",outro,"Ensino Fundamental Completo","Ensino Fundamental Completo",Sim,"Nenhum livro",Romance,Diariamente
"40-60 pontos","ENSINO MÉDIO E TÉCNICO EM AGROPECUÁRIA INTEGRADO","ENSINO MÉDIO E TÉCNICO",INTEGRAL,F,"menor 17","Zona Urbana","Apenas em escola pública","R$ 511,00 a 765,00",Própria,Fundamental,"Prestígio social da profissão",ônibus/van,"Ensino Fundamental Completo","Ensino Fundamental Completo",Não,"Nenhum livro",Outro,Diariamente
"60-80 pontos","ENSINO MÉDIO E TÉCNICO EM AGROPECUÁRIA INTEGRADO","ENSINO MÉDIO E TÉCNICO",INTEGRAL,M,"menor 17","Zona Urbana","Apenas em escola pública","R$ 255,00 a 510,00",Própria,Fundamental,"Possibilidades no mercado de trabalho",carona,"Ensino Fundamental Completo",Pós-graduação,Sim,"1 ou 2 livros",Ficção,Diariamente
"60-80 pontos","ENSINO MÉDIO E TÉCNICO EM INFORMÁTICA","ENSINO MÉDIO E TÉCNICO",INTEGRAL,F,"menor 17","Zona Urbana","Apenas em escola pública","R$ 1276,00 a 1530,00",Própria,Fundamental,"Possibilidades no mercado de trabalho",ônibus/van,"Ensino Médio Incompleto","Ensino Médio Completo",Sim,"Mais de 5 livros",Romance,Diariamente
"40-60 pontos","ENGENHARIA AGRONÔMICA",SUPERIOR,INTEGRAL,M,"entre 18 e 22","Zona Urbana","Apenas em escola particular","R$ 1276,00 a 1530,00",Alugada,"Médio Completo","Possibilidades no mercado de trabalho",ônibus/van,"Ensino Médio Completo","Ensino Médio Completo",Sim,"1 ou 2 livros",Romance,Diariamente
"40-60 pontos","CIÊNCIAS BIOLÓGICAS",LICENCIATURA,NOTURNO,F,"entre 18 e 22","Zona Urbana","Apenas em escola pública","R$ 766,00 a 1275,00",Própria,"Médio Completo","Realização pessoal",ônibus/van,"Ensino Superior Completo","Ensino Superior incompleto",Sim,"Mais de 5 livros",Outro,Diariamente
"40-60 pontos","CIÊNCIA DA COMPUTAÇÃO",SUPERIOR,NOTURNO,M,"entre 23 e 30","Zona Urbana","A maior parte em escola publica","R$ 766,00 a 1275,00",Própria,"Médio Completo","Realização pessoal",carona,"Ensino Fundamental Completo","Ensino Superior Completo",Sim,"1 ou 2 livros",Religioso,Diariamente
"60-80 pontos","ENSINO MÉDIO E TÉCNICO EM INFORMÁTICA","ENSINO MÉDIO E TÉCNICO",INTEGRAL,F,"menor 17","Zona Rural","Apenas em escola pública","R$ 511,00 a 765,00",Própria,Fundamental,"Possibilidades no mercado de trabalho","nenhum (à pé)","Ensino Fundam. incompleto","Ensino Médio Completo",Sim,"Mais de 5 livros",Ficção,"Semanalmente (algumas vezes)"
"40-60 pontos","EDUCAÇÃO FÍSICA",LICENCIATURA,VESPERTINO,M,"entre 18 e 22","Zona Urbana","Apenas em escola pública","R$ 511,00 a 765,00",Própria,"Médio Completo","Realização pessoal",carona,"Ensino Fundam. incompleto","Ensino Fundam. incompleto",Sim,"1 ou 2 livros",Ficção,Diariamente
"20-40 pontos","ENGENHARIA AGRONÔMICA",SUPERIOR,INTEGRAL,M,"entre 18 e 22","Zona Rural","Apenas em escola pública","R$ 766,00 a 1275,00",Própria,"Médio Incompleto","Realização pessoal",ônibus/van,"Ensino Fundam. incompleto","Ensino Médio Incompleto",Sim,"Mais de 5 livros",Outro,"Semanalmente (algumas vezes)"
"20-40 pontos","ENGENHARIA AGRONÔMICA",SUPERIOR,INTEGRAL,M,"entre 18 e 22","Zona Urbana","A maior parte em escola publica","R$ 511,00 a 765,00",Própria,"Médio Completo","Realização pessoal",carona,"Ensino Médio Completo","Ensino Médio Completo",Sim,"1 ou 2 livros",Ficção,Diariamente
"40-60 pontos","EDUCAÇÃO FÍSICA",BACHARELADO,NOTURNO,F,"entre 18 e 22","Zona Urbana","Apenas em escola pública","Maior que R$ 1530,00",Própria,"Médio Completo","Realização pessoal",ônibus/van,"Ensino Médio Completo","Ensino Médio Completo",Sim,"Nenhum livro",Outro,"Semanalmente (algumas vezes)"
"40-60 pontos","CIÊNCIA DA COMPUTAÇÃO",SUPERIOR,NOTURNO,M,"entre 23 e 30","Zona Urbana","Apenas em escola pública","R$ 766,00 a 1275,00",Própria,"Médio Completo","Realização pessoal",próprio,"Ensino Médio Completo","Ensino Fundam. incompleto",Sim,"3 a 4 livros",Ficção,"Não utiliza"
"40-60 pontos","ENSINO MÉDIO E TÉCNICO EM AGROPECUÁRIA INTEGRADO","ENSINO MÉDIO E TÉCNICO",INTEGRAL,M,"menor 17","Zona Urbana","Apenas em escola pública","R$ 255,00 a 510,00",Própria,Fundamental,"Possibilidades no mercado de trabalho",carona,"Ensino Fundamental Completo","Ensino Fundamental Completo",Sim,"1 ou 2 livros",Outro,Diariamente
"40-60 pontos","CIÊNCIA DA COMPUTAÇÃO",SUPERIOR,NOTURNO,M,"entre 23 e 30","Zona Urbana","Apenas em escola pública","R$ 255,00 a 510,00",Própria,"Médio Completo","Possibilidades no mercado de trabalho",ônibus/van,"Ensino Médio Incompleto","Ensino Fundam. incompleto",Não,"3 a 4 livros",Técnico-científico,Diariamente
"40-60 pontos","EDUCAÇÃO FÍSICA",LICENCIATURA,VESPERTINO,M,"entre 18 e 22","Zona Urbana","Apenas em escola pública","R$ 766,00 a 1275,00",Própria,"Médio Completo","Realização pessoal",ônibus/van,"Ensino Fundam. incompleto","Ensino Fundamental Completo",Não,"1 ou 2 livros",Ficção,"Semanalmente (algumas vezes)"
"40-60 pontos","ENGENHARIA AGRONÔMICA",SUPERIOR,INTEGRAL,M,"entre 18 e 22","Zona Urbana","Apenas em escola pública","Maior que R$ 1530,00",Própria,"Médio Completo","Realização pessoal",ônibus/van,"Ensino Médio Completo",Pós-graduação,Não,"3 a 4 livros",Técnico-científico,Diariamente
